"id","old_code","name","first_name","middle_name","last_name","suffix","street","city","zip","country_id/id","company_type","phone","mobile","fax","email","supplier","mode_payment","comment","discount","property_supplier_payment_term_id/id","customer","wholesaler"
"0000608M","0000608M","FAMILY COMMERCIAL / SURALLAH",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000607M","0000607M","FAMILY COMMERCIAL/ ISULAN",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0003979M","0003979M","FRANCIS MOTORCYCLE PARTS & ACCESSORIES",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000702M","0000702M","GAYOLA ENTERPRISES (OLD)",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000776M","0000776M","HIDAN HARDWARE / NI-AN MBL PAR",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000855M","0000855M","JEBB CYCLE PARTS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0000857M","0000857M","JEFFREY BICYCLE PARTS ( STO.NIÑO)",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004356M","0004356M","JORDAN HARDWARE & MOTORPARTS - 30 DAYS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0002274M","0002274M","JUN MOTORCYCLE PARTS",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000895M","0000895M","KESTREL CONSTRUCTION",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0000935M","0000935M","LAGUSTAN, ODIE","ODIE",,"LAGUSTAN",,,,,,"person",,,,,,,,"10.00%",,TRUE,TRUE
"0000940M","0000940M","LANGUB MC PARTS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001129M","0001129M","MILVEN GENERAL MERCHANDISE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001131M","0001131M","MINETTE & MAY STORE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001145M","0001145M","MITSU MC PARTS/ JARA GENERAL MDSE.",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0002902M","0002902M","MNMJ NORALA GENERAL MERCHANDISE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004357M","0004357M","MOTOPLUS GP MOTORPARTS - 30 DAYS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004355M","0004355M","MOTOR WAY CYCLE PARTS - 30 DAYS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001259M","0001259M","NAVALES HARDWARE. & GENERAL MDSE./CRIS JADE ENT.",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001580M","0001580M","NJC GENERAL MDSE.",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001306M","0001306M","ONG, BOBONG","BOBONG",,"ONG",,,,,,"person",,,,,,,,"10.00%",,TRUE,TRUE
"0001487M","0001487M","RANO HARDWARE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001526M","0001526M","RGMP FAMILY COMMERCIAL",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001527M","0001527M","RHAC CYCLE CENTER",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001534M","0001534M","RINA'S HARDWARE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0004442M","0004442M","RV GENUINE ENTERPRISES - 30 DAYS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001622M","0001622M","SETTLER'S HARDWARE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001630M","0001630M","SHINE ELEC. & BIKE SUPPLY",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001683M","0001683M","SPINWHEELS BICYCLE CENTER",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001719M","0001719M","SUGANOB GENERAL MERCHANDISE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001776M","0001776M","TAYONE",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0004434M","0004434M","VALEEN LAND",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001900M","0001900M","VRE GEN. MDSE",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
"0001925M","0001925M","X-CORE MC PARTS",,,,,,,,,"company",,,,,,,,"10.00%",,TRUE,TRUE
"0001951M","0001951M","ZAULDA, EMMANUEL",,,,,,,,,"company",,,,,,,,"5.00%",,TRUE,TRUE
